PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA
12 109230,00,"New Building","Multiple Use/Non Residential",41,LEBOVIC,AVE, ,   ,2012/01/20,2012/07/30,2013/04/25,Closed,"Construct new retail/office complex BLD D","243",""
12 109234,00,"New Building","Apartment Building",3563,LAKE SHORE,BLVD,W,M8W,2012/01/20,2013/09/17,2015/01/22,Closed,"Proposed construction of a new (7) storey mixed-use building containing (72) residential units and commercial uses on the first floor.","397",""
12 113376,00,"Building Additions/Alterations","Apartment Building",52,SUMACH,ST, ,M5A,2012/01/27,2012/12/18,,Inspection,"permit to review installed green roof","227.29","0"
12 114933,00,"New Building","Mixed Use/Res w Non Res",120,BREMNER,BLVD, ,   ,2012/01/31,2013/11/26,,Inspection,"New 31 storey office tower..  See building permit 10 255756 BLD for hotel portion.
Permit for construction of new mixed use building with Hotel and Retail uses.  PLEASE NOTE THAT UNDERGROUND PARKING GARAGE WILL SERVICE HOTEL BUILDING AS WELL AS NEW OFFICE BUILDING -  3 levels of underground parking - 379 parking spaces - plus 26 small car parking spaces - all spaces to be divided between buildings. - SEE REFERENCE PACKAGE OF NEW ","1827.57","126.09"
12 117088,00,"New Building","Mixed Use/Res w Non Res",1030,KING,ST,W,M6K,2012/02/03,2013/07/17,,Inspection,"New mixed use building consisting of 2. 14 storey towers connected by a 4 storey podium complete with ground floor commercial in each and 602 residential units above. Included in the proposal is a 4 storey below grade garage facility. ","2014","0"
12 119084,00,"New Building","Apartment Building",3018,YONGE,ST, ,M4N,2012/02/08,2016/04/01,,Inspection,"Lanterra ( Yonge Lawrence ) 13 Storey Condominium  Building with 4 underground levels Parking.
Revised plans submitted January 12, 2015. (Recieved by Albert Smith). An additional $150,514.78 is owing for Parks Levy or the new units on the 13th floor.","342","0"
12 124662,00,"New Building","Apartment Building",102,SHUTER,ST, ,M5A,2012/02/17,2015/06/08,2017/08/11,Closed,"Permit to construct new 14 storey residential condominium building with 50  units.  The base of the building includes three 2-storey townhouses fronting on Shuter Street.  There are 42 parking spaces proposed within a three level underground garage accessed from an existing public lane.  A valet will take cars to the underground garage via a car elevator. - Please see 10 249540 STE 27 SA for Site Plan Approval application - and note site plan indicates 48 units where building permit indicates 50 units.","252",""
12 124719,00,"New Building","Retail Store",30,IRONSIDE,CRES, ,   ,2012/02/17,2014/05/22,,Inspection,"CONSTRUCT NEW RETAIL BUILDING 'D"","1317","0"
12 129679,00,"New Building","Apartment Building",36,PARK LAWN,RD, ,M8Y,2012/02/29,2015/11/02,2016/11/16,Closed,"Construction of 44 storey apartment building with 421 residential dwelling units plus 1 guest suite total 422 units.","361.12","0"
12 135248,00,"Building Additions/Alterations","Elementary School",85,MOATFIELD,DR, ,M3B,2012/03/12,2012/09/25,,Inspection,"Moatfield Foundation Operation - Three storey addition and renovation to the front the school.","810",""
12 140070,00,"New Building","Apartment Building",2,OLD MILL,DR, ,M6S,2012/03/21,2014/11/06,,Inspection,"Proposal to construct a 10 storey residential building consisting of 215 dwelling units and below grade parking spaces","578.4","0"
12 144517,00,"New Building","Mixed Use/Res w Non Res",41,OSSINGTON,AVE, ,M6J,2012/03/28,2014/05/13,,Inspection,"Proposal to construct a 6 sty condo with 28 residential units and ground floor retail.  NOTE:  See active stand alone shoring permit.","141","0"
12 146242,00,"New Building","Recreational",55,FOREST MANOR,RD, ,   ,2012/03/30,2014/03/20,,Inspection,"Parkway Forest Community Centre","726","0"
12 148129,00,"New Building","Apartment Building",635,KING,ST,E,   ,2012/04/03,2014/03/14,,Inspection,"Proposal to construct a 13 sty condo with 249 residential units.  PHASE 2 - PARCEL "F".","1007",""
12 154305,00,"Building Additions/Alterations","College/Trade/Tech School/Training Cent.",930,WARDEN,AVE, ,M1L,2012/04/16,2013/06/26,2014/09/25,Closed,"construct new addition to existing building and interior alterations","473",""
12 165641,00,"New Building","Community Hall",115,BLACK CREEK,DR, ,   ,2012/05/02,2013/03/21,,Inspection,"Proposal to construct new two storey community centre with indoor pools.","2000",""
12 166355,00,"New Building","Mixed Use/Res w Non Res",475,FRONT,ST,E,M5A,2012/05/03,2014/11/14,2016/10/18,Closed,"Proposal to construct a 11 sty condo with retail at grade and 1 level of below ground parking & above grade parking.  PAN-AM GAMES - BLOCKS 11 PHASE 2, WEST DON LANDS.  See Site Plan 11 314634.","4823",""
12 166727,00,"New Building","Mixed Use/Res w Non Res",21,GRENVILLE,ST, ,M4Y,2012/05/04,2014/05/30,,Inspection,"This is for the a new 50 storey mixed use building.The Heritage Bldg @ 9 Grenville is to be relocated/maintained and the new Bldg constructed around it.There will be retail on the ground floor and residential above. There will be 495 residential units and 3 ground floor retail units. There will also be 5 levels of below grade parking garage with 126 parking spaces and 437 bicycle lockers. This is known as 21 Grenville Street. Refer to associated planning folders and OMB decision. ","118","70.8"
12 170167,00,"New Building","Mixed Use/Res w Non Res",475,FRONT,ST,E,M5A,2012/05/09,2015/10/14,2016/10/14,Closed,"Proposal to construct 15 sty condo with 436 units, ground floor commercial, and 2 levels of below grade parking.  PAN-AM GAMES - BLOCK 4 - PHASE 2, WEST DON LANDS.","1701.4",""
12 171492,00,"New Houses","SFD - Detached",360,WALMER,RD, ,M5R,2012/05/11,2012/05/31,2012/11/02,Closed,"Permit to demolish existing dwelling and construct new three storey detached single family dwelling with internal garage and a second and third floor roof deck. - See 12 144933 ZZC for Zoning Review.
NOTE: DO not issue Disk ---it has not been updated; just the certificate","85",""
12 174617,00,"New Building","Office",165,GALAXY,BLVD, ,   ,2012/05/16,2013/03/07,,Inspection,"To construct a new two (2) storey Office Building (Building "A").","1176.45",""
12 174758,00,"New Building","Apartment Building",4180,DUNDAS,ST,W,M8X,2012/05/16,2014/01/15,2015/01/26,Closed,"To construct an 8-storey seniors apartment building with a total of 139 dwelling units","568",""
12 176280,00,"New Building","Mixed Use/Res w Non Res",591,DUNDAS,ST,E,M5T,2012/05/18,2013/05/24,,Inspection,"Block 25 South Tower and Podium - New Address will be 55 Belshaw. - Permit to construct new 29 storey mixed use building with 5 storey podium - First 2 levels mixed use commercial / retail / office space, remainder residential - 416 residential units - 2 levels below grade parking","1773.5",""
12 180974,00,"New Building","Mixed Use/Res w Non Res",290,ADELAIDE,ST,W,M5V,2012/05/28,2014/07/07,,Inspection,"Proposal to construct a 40 sty condo with commercial on ground floor, below and above grade parking, and 369 residential units.","350.7","0"
12 183901,00,"New Building","Mixed Use/Res w Non Res",18,REAN,DR, ,M2K,2012/05/31,2013/09/18,,Inspection,"Proposed 6/7 storey mixed use building comprising 140 dwelling units. The building has a gross floor area of 10,421.0 square metres including 475 square metres of ground floor commercial space and 2 levels of underground parking.","477",""
12 185147,00,"New Building","Mixed Use/Res w Non Res",195,DAVENPORT,RD, ,M5R,2012/06/01,2014/01/29,,Inspection,"Construct new 9 storey mixed use building complete with 4 levels of below grade parking and ground floor retail space. included int h proposal is 38 residential dwelling units. ","114",""
12 200240,00,"New Building","Apartment Building",0,BONIS,AVE, ,   ,2012/06/26,2014/11/06,,Inspection,"New 20 storey residential building "Love Condo"","407","365.9"
12 201776,00,"New Building","Apartment Building",310,TWEEDSMUIR,AVE, ,M5P,2012/06/27,2014/03/27,,Inspection,"Permit to construct new 30 Storey Residential Rental apartment building with 251 residential units above and 3 levels parking garage secured under related building permit 10-319982. ","637","0"
12 202451,00,"New Building","Elementary School",50,UPPER ROUGE,TRL, ,   ,2012/06/28,2013/02/14,2014/10/08,Closed,"construct new 6 224 m2 TDSB elementary school","1159",""
12 203332,00,"New Building","University",100,DEVONSHIRE,PL, ,M5S,2012/06/29,2013/06/28,2015/01/30,Closed,"Construct new Varsity Centre (2 storey below grade and 4 storey above grade multi-purpose facility For University of Toronto(Faculty of Physical Education) for High Performance Sports.","1080",""
12 204706,00,"New Building","Apartment Building",55,ANN O'REILLY,RD, ,   ,2012/07/04,2015/04/09,,Inspection,"43 storey condo with 483 units, linked together with 8 storey condo, two levels of amenedies,  and 4 levels of underground parking ","1287.6","0"
12 207842,00,"New Building","Indoor Swimming Pool",875,MORNINGSIDE,AVE, ,   ,2012/07/09,2013/10/29,2014/12/12,Closed,"construct indoor swimming pool with restaurant and office space for PAN AM aquatic centre","60",""
12 209746,00,"New Building","Mixed Use/Res w Non Res",1243,DUNDAS,ST,W,M6J,2012/07/11,2015/08/24,2015/09/03,Closed,"Proposal to construct a 8 sty condo with 39 residential units, commercial at grade, and 1 level of below grade parking.  1243-1245 DUNDAS ST W.  See Demo and Site Plan.","183.0",""
12 211627,00,"Building Additions/Alterations","Industrial",1415,WESTON,RD, ,M6M,2012/07/16,2013/02/01,,Inspection,"Proposal to construct Phase 1 of addition to Irving Tissue Corporation","11773",""
12 213264,00,"New Building","Other",6,ELM,AVE, ,M4W,2012/07/17,2013/07/05,2016/07/22,Closed,"Demolition of existing dining facility , construction of new dining, athletics and wellness facility, also with two pools and connection  to existing elementary school, connection to existing pedestrian bridge on the east side.","786",""
12 213264,01,"New Building","Other",6,ELM,AVE, ,M4W,2014/02/05,2014/10/02,2016/07/22,Closed,"Proposal to revise the green roof.","764","0"
12 219269,00,"New Building","Mixed Use/Res w Non Res",30,ROEHAMPTON,AVE, ,   ,2012/07/26,2015/04/14,,Inspection,"Proposal to construct a 34 storey condo with 397 residential units and four levels of below grade parking. Toronto Parking Authority will occupy the upper two of the four levels of below grade parking. Residents' parking to occupy the lowest two levels with additional parking within adjacent #2345 Yonge St.","1081",""
12 221439,00,"New Building","Mixed Use/Res w Non Res",199,RICHMOND,ST,W,M5V,2012/07/31,2015/03/05,,Inspection,"PHASE 2 - Permit to construct new 41 storey building with ground floor commercial space - 409 residentail units - 75 additional parking spaces (balance of PHASE 2) - 5 levels below grade parking. - 35 Bicycle parking spaces.","473","0"
12 223573,00,"New Building","Mixed Use/Res w Non Res",13,SUPERIOR,AVE, ,M8V,2012/08/02,2013/12/17,,Inspection,"Proposed new development of 11 storey  (132 residential units) Condominium Apartment Building with retail component at the ground floor and underground parking areas.","387","0"
12 230546,00,"New Building","Multiple Use/Non Residential",1602,THE QUEENSWAY, , ,M8Z,2012/08/16,2012/12/10,2015/09/23,Closed,"Proposal to construct one 3 unit building, Shell Only (Building "D, E, F")","790","0"
12 233929,00,"New Building","Apartment Building",2150,LAWRENCE,AVE,E,M1R,2012/08/22,2014/09/22,2016/07/08,Closed,"construct a 19 storey condominium with 227 units","1519","0"
12 235082,00,"New Building","Mixed Use/Res w Non Res",70,TEMPERANCE,ST, ,   ,2012/08/24,2013/08/09,,Inspection,"Proposal to construct a 54 sty condo with ground floor commercial, 4 levels of below grade parking, and 798 residential units.","587",""
12 236480,00,"New Building","Industrial",5533,STEELES,AVE,W,M9L,2012/08/27,2013/04/17,,Inspection,"To construct new one storey multi-unit industrial building.","2459",""
12 246001,00,"New Building","Mixed Use/Res w Non Res",318,RICHMOND,ST,W,M5V,2012/09/13,2014/09/04,,Inspection,"Construction of a 39-storey mixed-use building with 402 residential units, 5 level below grade parking and the first three levels will be used for a mix of retail and office components. This will be named "PICASSO".","501.75","11.35"
12 246672,00,"Small Residential Projects","SFD - Detached",95,NORTON,AVE, ,M2N,2012/09/14,2012/10/04,2012/12/20,Closed,"Green roof over detached garage. See permit file #12-115202.","53.6",""
12 260027,00,"New Building","Library",150,BOROUGH,DR, ,M1P,2012/10/09,2013/05/09,,Inspection,"construct a one storey City of Toronto Library ","814",""
12 260121,00,"New Building","Retail Mall/Plaza",3757,KEELE,ST, ,M3J,2012/10/09,2013/04/17,,Inspection,"Two storey WalMart.","2270",""
12 260361,00,"New Building","Apartment Building",88,SHEPPARD,AVE,E,   ,2012/10/10,2014/05/21,2016/08/22,Closed,"34 storey residential apartment building with green roofs above the two and four storey residential portions, 359 dwelling units, linked (mechanically and electrically) with 2 blocks of three storey residential townhouses containing a total of 16 dwelling units all above three levels of underground parking","712",""
12 261353,00,"New Building","Apartment Building",66,ISABELLA,ST, ,M4Y,2012/10/11,2014/01/29,,Inspection,"Proposal to construct a new 23 storey apartment building (please refer to 12-261326 DM) ","392","0"
12 265687,00,"Building Additions/Alterations","Retail Store",1475,THE QUEENSWAY, , ,M8Z,2012/10/19,2013/06/28,,Inspection,"Non-public warehouse addition to the existing Ikea store","196.3",""
12 266823,00,"New Building","Mixed Use/Res w Non Res",434,ADELAIDE,ST,W,M5V,2012/10/23,2015/08/04,,Inspection,"Construct a new 11 storey mixed use building with 236 residential units (14167m2), 3 levels of below grade parking (4941m2), green roof (1132m2), and commercial at grade (913m2).  See related Site Plan Approval file 11-237693 (still under review), OMB file 11-300231, and Rezoning file 12-104040 (still open)","1132.0","0"
12 275376,00,"Building Additions/Alterations","Industrial",160,TRANSIT,RD, ,M3H,2012/11/07,2013/03/04,2017/04/11,Closed,"One storey addition to existing Wilson Carhouse with green roof - Wilson Station","1992",""
12 278080,00,"Building Additions/Alterations","Retail Store",25,THE WEST MALL, , ,M9C,2012/11/13,2013/09/30,,Inspection,"Proposal to construct two storey north side addition and interior alteration to existing shopping mall.","14306",""
12 283532,00,"New Building","Apartment Building",48,ABELL,ST, ,M6J,2012/11/22,,,Issuance Pending,"Proposal to construct a 21 sty condo with 3 levels of below grade parking and 406 residential units.  See stand alone shoring 12 123243.","447",""
12 292665,00,"Building Additions/Alterations","Warehouse",129,FENMAR,DR, ,M9L,2012/12/12,2015/03/06,,Inspection,"Proposed development of a one-storey warehouse/storage building at the rear of the property.
Re: [SPA #12-266903 WET]","3519",""
12 296413,00,"New Building","Apartment Building",160,VANDERHOOF,AVE, ,   ,2012/12/20,2016/06/08,,Inspection,"18 storey residential building containing two storey townhouses with 10 units and residential dwelling units above consisting of 308 units, ground floor recreational area and six levels of underground parking - Scenic III (ARH) Developments Ltd ","760","0"
12 296537,00,"New Building","Mixed Use/Res w Non Res",998,COLLEGE,ST, ,M6H,2012/12/20,2014/09/30,,Inspection,"Proposal to construct a 7 sty condo with commercial on the ground floor and 2 levels of below grade parking.  51 dwelling units.  "IT LOFTS".","100.0",""
12 296588,00,"New Building","Elementary School",36,YVONNE,AVE, ,M3L,2012/12/20,2013/05/24,,Inspection,"New 2 storey elementary school","660",""
12 296723,00,"New Building","Apartment Building",299,ROEHAMPTON,AVE, ,M4P,2012/12/20,2014/04/15,2016/02/18,Closed,"Demo existing 2 storey townhouse development consisting of 7 rental units on North East portion of existing 'lot' which consists of # 299 Roehampton Ave.(Area B) and # 322 Eglinton Ave. East (Area A) to remain;  and construct new 16 storey apartment building with 221 Dwelling Units (Area C), 1 Storey Recreation Centre (Area D) for the exclusive use of Residents of the 'lot', and new vehicular ramp enclosure (Area E). One vehicular ramp to the underground garage will also be demolished
Parking to be within the existing 2 levels of the underground garage which is shared by all three towers.
Existing vehicular access from Roehampton Ave. and Rawlinson Ave will remain from these streets but will be relocated. New surface drive aisles are proposed.
See also 12 296716 DEM, 12 244374 STE, 12 149734 ZPR, 12 149122 MV and Final and Binding A0248/12TEY.","620.9",""
12 296750,00,"Building Additions/Alterations","Multiple Use/Non Residential",40,ADELAIDE,ST,W,M5H,2012/12/20,2013/11/18,2017/01/17,Closed,"Proposal to construct a 44 sty office addition (including a new 7 sty podium)+ mech penhouse addition over existing 4 level below grade parking garage and 1 concourse level, and selective interior work on existing commercial building at 132 Yonge St.  Future address - 22 Adelaide St W.  BAY ADELAIDE EAST TOWER.
A copy of the original & registered Limiting Distance Agreement dated June7th, 2013 for Bay Adelaide Centre (East Tower) / HKTDC of 9 Temperance Street is filed under the Applicable Law (Attachment/Process).","236","163.9"
12 296759,00,"Building Additions/Alterations","Office",134,PETER,ST, ,M5V,2012/12/20,2013/10/15,,Inspection,"Construction of additions above and to the north and west walls of the existing building located at 134 peter street for the purposes of a new office development having an overall height of 17 stories.  Included is the incorporation of the easterly exterior wall of 364 Richmond street West into the development.
See STR PP for structural drawings.","1157.33","0"
13 108330,00,"New Building","Apartment Building",80,ESTHER LORRIE,DR, ,   ,2013/01/18,2014/09/26,2016/05/02,Closed,"Construct new (12) storey residential condo with (260) units, (1) dwelling room and (3) levels of underground parking.","534.0",""
13 111792,00,"New Building","Apartment Building",830,LAWRENCE,AVE,W,   ,2013/01/28,2016/08/18,,Inspection,"Part Permit - 29 storey residential building with a 8 storey residential podium containing 586 dwelling units, ground floor retail and four levels of underground parking - Phase 2 - Treviso","752","0"
13 119998,00,"New Building","Multiple Use/Non Residential",300,SILVER STAR,BLVD, ,   ,2013/02/14,2014/06/12,,Inspection,"Proposed 4 storey building for offices, 16 respite care rooms, recreational - mixed uses (Seniors Multi Service Centre).","574",""
13 122221,00,"New Building","Motel/Hotel",2,STRACHAN,AVE, ,M6K,2013/02/20,2014/09/08,,Inspection,"Proposal to construct a new 28 sty hotel and 2 levels of below grade parking.  "Hotel X at Exhibition Place".  New convenience address - 111 Princes Blvd.","5017",""
13 122967,00,"Building Additions/Alterations","Multiple Use/Non Residential",141,ADELAIDE,ST,W,M5H,2013/02/21,2013/04/02,2017/01/09,Closed,"Proposal to construct a greenroof on the lower portion of mixed use, commercial buiding.","229.86",""
13 123611,00,"New Building","Mixed Use/Res w Non Res",51,EAST LIBERTY,ST, ,   ,2013/02/22,2014/07/21,,Inspection,"1Proposal to construct a 25 sty condo with ground floor commercial, 4 levels of below grade parking, and 386 residential units.  Phase 1.  Liberty Central Condos.","492",""
13 124990,00,"New Building","Mixed Use/Res w Non Res",1844,BLOOR,ST,W,M6P,2013/02/26,2014/01/29,,Inspection,"New 14 storey mixed use residential with commercial on ground floor","1113",""
13 127050,00,"New Houses","Stacked Townhouses",1321,GERRARD,ST,E,M4L,2013/03/01,2014/12/18,,Inspection,"BUILDING 1 - Proposal to construct a 3 sty stacked and back-to-back townhouse building with 16 residential units with basement parking garage.  Refer to LEAD FILE 13-127046 BLD for drawings, documents and approvals.  BUILDING 2 is under file 13-127053 BLD.","123",""
13 127053,00,"New Houses","Stacked Townhouses",1321,GERRARD,ST,E,M4L,2013/03/01,2014/12/18,,Inspection,"BUILDING 2 - Proposal to construct a 3 sty stacked and back-to-back townhouse building with 16 residential units with basement parking garage.  Refer to LEAD FILE 13-127046 BLD for drawings, documents and approvals.  BUILDING 1 is under file 13-127050 BLD.","122",""
13 131614,00,"New Building","Mixed Use/Res w Non Res",40,SCOTT,ST, ,   ,2013/03/12,2016/04/05,,Inspection,"Proposal to construct a new 58 storey multi use building with 489 residential suites, ground floor retail and office space, and 5 levels of below grade parking with 362 parking spaces.  See also 11 259298 STE.","340.97","0"
13 133841,00,"New Building","Other",51,BEECHGROVE,DR, ,M1E,2013/03/15,2014/04/16,,Inspection,"New headworks building at existing waste water treatment plant","746",""
13 137731,00,"New Building","Retail Store",1860,BAYVIEW,AVE, ,M4G,2013/03/20,2014/04/16,,Inspection,"Two storey retail shell building containing 5 retail units on the ground floor, one retail unit on the second floor and two levels of underground parking","1348","0"
13 140016,00,"New Building","Stadium",4700,KEELE,ST, ,M3J,2013/03/25,2013/11/13,,Inspection,"Athletics Out-door Stadium - Pan Am Games - York University","20",""
13 144750,00,"New Building","Mixed Use/Res w Non Res",90,HARBOUR,ST, ,   ,2013/04/04,2015/08/17,,Inspection,"Proposal to construct 3 towers (1-33 sty office tower on west side of property, 1-65 sty residential tower centrally located on property, and 1-69 sty residential tower on east side of property) on 3 & 5 sty podiums, 1220 residential units, connection to PATH, and 4 levels of below grade parking.  See active Shoring Permit 12 283251.
","3113.4","1555.8"
13 147105,00,"New Building","Mixed Use/Res w Non Res",1960,QUEEN,ST,E,M4L,2013/04/09,2014/07/03,2016/09/09,Closed,"Proposal to construct a 6 sty condo with ground floor retail, 2 levels of underground parking, and 28 residential units. See active Demo permit.
","296","0"
13 148751,00,"New Building","Apartment Building",591,DUNDAS,ST,E,M5T,2013/04/11,2013/08/29,,Inspection,"BLOCK 22- Part of Phase 2)
Proposal to construct a new 11 sty rental apartment building with 1 level of below grade parking and 86 units.  BUILDING C.  New address - 180 Sackville St.  NOTE: also see batch permits for BUILDING A (16 back to back townhouses TH-01-TH16) and BUILDING B (16 back to back townhouses TH-17-TH32).","281",""
13 155002,00,"New Building","Mixed Use/Res w Non Res",545-565,SHERBOURNE,ST, ,M4X,2013/04/22,2016/09/01,,Inspection,"Proposal to construct a new 43 storey mixed-use building with 369 residential units and ground floor commercial. Also maintain existing residential buildings at 545, 555 and 565 Sherbourne St.","890",""
13 161711,00,"New Building","Office",100,ADELAIDE,ST,W,M5H,2013/05/03,2015/08/24,,Inspection,"Proposal to construct a (39 leveles of offices + 3 leveles of mechanical spaces; level 13 is skipped on all drawings) 42 sty office building with 5 levels of below grade parking.","1224","361"
13 163492,00,"Building Additions/Alterations","Apartment Building",133,WILTON,ST, ,M5A,2013/05/07,2013/07/03,,Inspection,"Proposal to construct a greenroof on existing apartment building.","426",""
13 164224,00,"New Building","Mixed Use/Res w Non Res",927 A,EGLINTON,AVE,W,M6C,2013/05/07,2017/04/04,,Inspection,"Proposal to construct a new 9 sty condo with commercial at grade, 91 residential units, and 3 levels of below grade parking.  925-935 Eglinton Ave W .  See Demo permit under 925 Eglinton Ave W - 13 164199.  ","204.50","0"
13 173674,00,"New Building","Mixed Use/Res w Non Res",10,PARK LAWN,RD, ,M8Y,2013/05/24,2016/08/22,,Inspection,"Proposal to construct 47 storey apartment building with 523 residential units, retail store, amenity area and 4 levels of underground parking garage.
Available roof area 874m2, 60 percent required 524m2, provided 524m2","524","0"
13 179846,00,"New Building","Mixed Use/Res w Non Res",2151-2153,LAKE SHORE,BLVD,W,M8V,2013/06/03,2015/10/19,,Inspection,"Proposal to construct a 50 storey apartment building with 436 residential units, amenity area and 6 levels of underground parking garage.  Refer to By-law 1093-2013","50",""
13 182544,00,"New Building","Mixed Use/Res w Non Res",345,CARLAW,AVE, ,M4M,2013/06/06,2015/01/15,,Inspection,"Proposal to construct a new 12-storey mixed use building containing office use at grade, 311 dwelling units, and 328 parking spaces below grade.  See also 11 235813 STE and 12 257660 DEM.  See 12-273090 for Shoring Permit and CP Shoring for this project.","1015.17","0"
13 187385,00,"New Building","College/Trade/Tech School/Training Cent.",203-205,HUMBER COLLEGE,BLVD, ,M9W,2013/06/13,2014/07/15,,Inspection,"Proposal to construct new 6 storey HLRC building at Humber College and one storey link on south side to existing "J" and "H" buildings.
Resubmission set (architectural, ellectrical and mechanical plans) from December 2013 were all replaced in Building permit drawings folder attachment.","1017",""
13 190716,00,"New Building","Mixed Use/Res w Non Res",297,COLLEGE,ST, ,M5T,2013/06/19,2015/04/21,,Inspection,"Proposal to construct a new 15 storey - 226 residential unit condominium with floors 1-2 consiting of retail units and floors 3-15 residntial units. The proposal will also include 3 levels of underground parking. ","444.0","0"
13 195524,00,"New Building","Office",91-97,ARROW,RD, ,M9M,2013/06/27,2013/11/13,2015/03/26,Closed,"Construct TOC, Bldg 1, Phase 1 (For Ontario Infrastructure). [This permit is for TOC, Bldg 1 only]","211",""
13 195531,00,"New Building","Mixed Use/Res w Non Res",130,HARBOUR,ST, ,   ,2013/06/27,,,Under Review ,"Proposal to construct a 66 sty + mechanical condo bulding with 5 levels of below grade parking, 694 residential units, and commercial.  New Address - 10 York St (additional addresses 120, 130 Harbour Street and 10 York Street).  ","0","573"
13 196215,00,"New Building","Apartment Building",42,CHARLES,ST,E,M4Y,2013/06/28,2016/10/24,,Inspection,"Proposal to construct a 56 sty condo with 3 sty podium, 474 residential units, and 4 levels of below grade parking.  NOTE: See active stand alone shoring permit 12 289406.","60","4"
13 196385,00,"New Building","Mixed Use/Res w Non Res",24,HOWARD PARK,AVE, ,M6R,2013/06/28,2015/04/07,,Inspection,"PHASE I- Construct a 8 sty condo with commercial at ground floor, 2 level of below grade parking, and 81 residential units.  See active stand alone Shoring Permit 13 160064.","500.0","0"
13 203373,00,"New Building","Retail Mall/Plaza",11,WILLIAM KITCHEN,RD, ,M1P,2013/07/12,2014/01/08,2015/03/12,Closed,"construct new retail plaza shell only "J 4,5,6,7"","0","1974.3"
13 206962,00,"New Building","Mixed Use/Res w Non Res",103,BATHURST,ST, ,   ,2013/07/19,2015/01/07,2017/01/19,Closed,"Proposal for a new 17 storey mixed use building, comprised of 225 residential units, 1,398 metre square of office uses and 945 metre square of retail space. Included in the proposal are 194 parking spaces to serve the project located in a below grade parking facility, (see also admin permit 13 265501 BA - 525 Adelaide St W)","55.60","0"
13 214460,00,"New Building","Apartment Building",9,VALHALLA INN,RD, ,   ,2013/08/01,2015/07/30,,Inspection,"Construct new (29) storey hi-rise, 278 units and (2) levels underground garage Bldg C Phase 3.
June01/15 Revised drawings submitted with proposed increase of number of Appartment Units from 278 to 298.","498","0"
13 214855,00,"Building Additions/Alterations","Multiple Unit Building",480,UNIVERSITY,AVE, ,M5G,2013/08/01,2015/04/09,,Inspection,"Proposal to construct a 37 sty + mechanical penhouse residential addition with 453 residential units on existing 18 sty commercial building, 3 additional below grade parking levels under 2 existing parking levels, 2 sty + atrium side addition (East side), interior alterations throughout, and replace facade on existing building.","0","538.76"
13 215227,00,"New Building","Mixed Use/Res w Non Res",856,DUNDAS,ST,W,M6J,2013/08/02,2014/05/07,,Inspection,"Proposal to construct a 8 sty condo with commercial at grade, 2 levels of undground parking, and 78 residential units.","325",""
13 227528,00,"New Building","Apartment Building",255,VILLAGE GREEN,SQ, ,   ,2013/08/28,2016/12/28,,Permit Issued,"Construct 35 storey residential tower 363 units, 3 level parking garage - Tower A","1511",""
13 228385,00,"New Building","Apartment Building",68,MERTON,ST, ,M4S,2013/08/29,2015/07/24,,Inspection,"To construct a 14-storey plus mechanical penthouse apartment building containing 156 suites, underground parking including a commercial parking garage
235931.44 x 0.60 =141558.86","194.7","0"
13 229440,00,"New Building","Mixed Use/Res w Non Res",2281,YONGE,ST, ,M4P,2013/09/03,,,Response Received,"Proposal to construct a new mixed use building comprised of two residential towers 58 storeys and 34 storeys in height connected by 3 levels of below grade parking.  Proposal will contain 1088 dwelling units (1023 condo + 65 rental replacement units). See related 13-148633 SA.","508.22","977.31"
13 231262,00,"New Building","Retail Store",784,SHEPPARD,AVE,E,M2K,2013/09/05,2016/08/23,,Inspection,"Two storey retail building with two levels of underground parking - Mountain Equipment Co-op","127","267"
13 237742,00,"New Building","Mixed Use/Res w Non Res",197,YONGE,ST, ,M5B,2013/09/18,,,Refusal Notice,"Proposal to construct a new 60 storey mixed use building (plus a mechanical penthouse and an elevator mechanical room), comprising of 694 dwelling units to the rear of the heritage building.  A proposed podium is 9-storey's containing the lobby to be located within the heritage building, above grade parking (floors 3 to 8), amenity uses (floors 9 and 10) and retail uses at grade and level 2 in the area currently used as private open space adjacent the heritage building on the north side.  There are 131 above grade parking spaces proposed.  One below grade level is proposed to include mechanical and service areas and bicycle parking. The application proposes to retain the front portion of the existing heritage building (Bank Building) on the premises.","606.748",""
13 238027,00,"Building Additions/Alterations","College/Trade/Tech School/Training Cent.",909,KIPLING,AVE, ,M8Z,2013/09/18,2016/08/16,,Inspection,"Construct new 2 storey north-west addition, 3 storey south addition and interior alteration for new trade school.(Proposal to demolish north-west and south portion of existing building to come after this permit)","1852","0"
13 238466,00,"New Building","Parking Garage",99,THE DONWAY, ,W,   ,2013/09/19,2016/01/05,,Permit Issued,"Parking garage -   2 - 11 storey residential apartment buildings and a 4 storey podium containing 297 dwelling units,  one retail unit on the P1 level above three levels of underground parking - Flaire Condominiums","1368.3","0"
